sentence_id,feature_count,original_text,fully_unmasked_text,fully_masked_text
S1,14,The film is a beautiful and moving portrait of human resilience.,The film is a beautiful and moving portrait of human resilience.,
S2,13,This movie is an absolute waste of time and money.,This movie is an absolute waste of time and money.,
S3,15,It's a bit slow at times but the performances are outstanding.,It's a bit slow at times but the performances are outstanding.,
S4,13,"A dull, tedious and completely forgettable experience.","A dull, tedious and completely forgettable experience.",
S5,15,The direction is inspired and the acting is nothing short of brilliant.,The direction is inspired and the acting is nothing short of brilliant.,
S6,12,A masterpiece of storytelling with breathtaking visuals and emotion.,A masterpiece of storytelling with breathtaking visuals and emotion.,
S7,16,Painfully boring and utterly devoid of any originality or charm.,Painfully boring and utterly devoid of any originality or charm.,
S8,15,The screenplay is weak but the lead actor delivers a captivating turn.,The screenplay is weak but the lead actor delivers a captivating turn.,
S9,16,A hollow and disappointing sequel that betrays everything the original stood for.,A hollow and disappointing sequel that betrays everything the original stood for.,
S10,13,"Funny, heartfelt and endlessly entertaining from beginning to end.","Funny, heartfelt and endlessly entertaining from beginning to end.",
D01,37,"It's just disappointingly superficial—a movie that has all the elements necessary to be a fascinating, involving character study, but never does more than scratch the surface.","It's just disappointingly superficial—a movie that has all the elements necessary to be a fascinating, involving character study, but never does more than scratch the surface.",
D02,21,"It provides the grand, intelligent entertainment of a superior cast playing smart people amid a compelling plot.","It provides the grand, intelligent entertainment of a superior cast playing smart people amid a compelling plot.",
D03,24,It's a bad thing when a movie has about as much substance as its end-credits blooper reel.,It's a bad thing when a movie has about as much substance as its end-credits blooper reel.,
D04,24,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving, effective little film.","First-time writer-director Serry shows a remarkable gift for storytelling with this moving, effective little film.",
D05,17,"The entire movie is about a boring, sad man being boring and sad.","The entire movie is about a boring, sad man being boring and sad.",
D06,15,"It proves quite compelling as an intense, brooding character study.","It proves quite compelling as an intense, brooding character study.",
D07,29,"The film's hackneyed message is not helped by the thin characterizations, nonexistent plot, and pretentious visual style.","The film's hackneyed message is not helped by the thin characterizations, nonexistent plot, and pretentious visual style.",
D08,12,"The film is powerful, accessible, and funny.","The film is powerful, accessible, and funny.",
D09,11,I got a headache watching this meaningless downer.,I got a headache watching this meaningless downer.,
D10,14,I had to look away; this was god-awful.,I had to look away; this was god-awful.,
