sentence_id,text,gold_label,prediction,correct,source,source_row_id,negative_logit,positive_logit,negative_probability,positive_probability,negative_base_value,positive_base_value,negative_sum_shap_values,positive_sum_shap_values,negative_reconstructed_logit,positive_reconstructed_logit,negative_additivity_residual,positive_additivity_residual,margin,margin_base_value_from_dual,margin_sum_shap_values_from_dual,margin_reconstructed_from_dual,margin_additivity_residual_from_dual,feature_count,content_feature_count,content_word_count,negative_mean_abs_word_shap,positive_mean_abs_word_shap,top_negative_increasing_word,top_negative_decreasing_word,top_positive_increasing_word,top_positive_decreasing_word,shap_model_evaluations,runtime_seconds
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,qualitative_s1_s10,S1,-4.19376277923584,4.052656650543213,0.00026212685042992234,0.9997379183769226,-1.9174925088882446,1.678025484085083,-2.276270270347595,2.37463116645813,-4.19376277923584,4.052656650543213,0.0,0.0,8.246419906616211,3.5955179929733276,4.650901436805725,8.246419429779053,4.76837158203125e-07,16,13,11,0.2697627903385596,0.2619170604951002,of (+0.1058),beautiful (-1.1532),beautiful (+1.1037),is (-0.0771),344,7.003072261810303
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,qualitative_s1_s10,S2,3.828538417816162,-3.318793773651123,0.9992135763168335,0.0007863419014029205,-1.405334234237671,1.256720781326294,5.233872652053833,-4.575514554977417,3.828538417816162,-3.318793773651123,0.0,0.0,-7.147332191467285,2.662055015563965,-9.80938720703125,-7.147332191467285,0.0,13,10,10,0.7657213801117905,0.6715336637498694,waste (+3.0587),and (-1.2522),and (+1.0829),waste (-2.6350),264,1.5857164859771729
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,qualitative_s1_s10,S3,-3.520557165145874,3.442493438720703,0.000945311039686203,0.9990547299385071,-1.9174925088882446,1.678025484085083,-1.6030646562576294,1.7644679546356201,-3.520557165145874,3.442493438720703,0.0,0.0,6.963050842285156,3.5955179929733276,3.3675326108932495,6.963050603866577,2.384185791015625e-07,16,12,12,0.39307127501039457,0.35710771519613144,slow (+0.5956),outstanding (-1.9041),outstanding (+1.8437),slow (-0.4466),500,3.4012503623962402
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,qualitative_s1_s10,S4,3.7819621562957764,-3.4976322650909424,0.9993109703063965,0.0006889900541864336,-1.405334234237671,1.256720781326294,5.187296390533447,-4.754353046417236,3.7819621562957764,-3.4976322650909424,0.0,0.0,-7.279594421386719,2.662055015563965,-9.941649436950684,-7.279594421386719,0.0,13,9,7,0.7435155750385353,0.6729768562529769,dull (+2.1185),a (-0.1704),a (+0.1452),dull (-1.8939),264,1.6546423435211182
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,1,qualitative_s1_s10,S5,-4.1542510986328125,4.012267589569092,0.0002839242515619844,0.9997161030769348,-1.9097520112991333,1.6897895336151123,-2.244499087333679,2.3224780559539795,-4.1542510986328125,4.012267589569092,0.0,0.0,8.166519165039062,3.5995415449142456,4.566977143287659,8.166518688201904,4.76837158203125e-07,15,12,12,0.4019505519730349,0.35687822188871604,the (+0.2730),brilliant (-2.1035),brilliant (+1.9438),the (-0.2326),376,2.4703853130340576
S6,A masterpiece of storytelling with breathtaking visuals and emotion.,POS,POS,1,qualitative_s1_s10,S6,-4.197082996368408,4.022840976715088,0.00026916302158497274,0.9997307658195496,-1.405334234237671,1.256720781326294,-2.7917487621307373,2.766120195388794,-4.197082996368408,4.022840976715088,0.0,0.0,8.219923973083496,2.662055015563965,5.557868957519531,8.219923973083496,0.0,13,10,9,0.5325889736413956,0.4837862087620629,emotion (+0.9633),breathtaking (-0.9590),breathtaking (+0.8913),emotion (-0.7615),264,1.5547325611114502
S7,Painfully boring and utterly devoid of any originality or charm.,NEG,NEG,1,qualitative_s1_s10,S7,3.8790786266326904,-3.484506368637085,0.9993664622306824,0.0006335201323963702,-1.6368293762207031,1.4503986835479736,5.5159080028533936,-4.934905052185059,3.8790786266326904,-3.484506368637085,0.0,0.0,-7.363584995269775,3.0872280597686768,-10.450813055038452,-7.363584995269775,0.0,14,11,10,0.7011458337306976,0.6314066775143147,boring (+1.8844),charm (-0.8099),charm (+0.7449),boring (-1.6830),360,2.2762393951416016
S8,The screenplay is weak but the lead actor delivers a captivating turn.,POS,POS,1,qualitative_s1_s10,S8,-3.506474018096924,3.431006669998169,0.0009697704226709902,0.9990302324295044,-1.9174925088882446,1.678025484085083,-1.5889815092086792,1.752981185913086,-3.506474018096924,3.431006669998169,0.0,0.0,6.937480926513672,3.5955179929733276,3.341962695121765,6.937480688095093,2.384185791015625e-07,16,13,12,0.65375774136434,0.5875267324348291,weak (+2.1135),captivating (-2.4335),captivating (+2.3337),weak (-1.7651),408,2.85656476020813
S9,A hollow and disappointing sequel that betrays everything the original stood for.,NEG,NEG,1,qualitative_s1_s10,S9,3.7930290699005127,-3.358466625213623,0.9992169141769409,0.0007830771501176059,-1.9174925088882446,1.678025484085083,5.710521578788757,-5.036492109298706,3.7930290699005127,-3.358466625213623,0.0,0.0,-7.151495933532715,3.5955179929733276,-10.747013688087463,-7.151495695114136,-2.384185791015625e-07,16,13,12,0.5249065634755729,0.47101445037696976,hollow (+1.9841),a (-0.2763),a (+0.2269),hollow (-1.7098),456,3.0433363914489746
S10,"Funny, heartfelt and endlessly entertaining from beginning to end.",POS,POS,1,qualitative_s1_s10,S10,-4.3160905838012695,4.064553737640381,0.0002292097342433408,0.9997708201408386,-1.9097520112991333,1.6897895336151123,-2.4063385725021362,2.3747642040252686,-4.3160905838012695,4.064553737640381,0.0,0.0,8.380643844604492,3.5995415449142456,4.781102776527405,8.38064432144165,-4.76837158203125e-07,15,11,9,0.39317564764577484,0.3736667909478355,to (+0.2217),entertaining (-1.4727),entertaining (+1.3631),to (-0.1822),488,3.1991732120513916
