sentence_id,text,gold_label
S1,The film is a beautiful and moving portrait of human resilience.,POS
S2,This movie is an absolute waste of time and money.,NEG
S3,It's a bit slow at times but the performances are outstanding.,POS
S4,"A dull, tedious and completely forgettable experience.",NEG
S5,The direction is inspired and the acting is nothing short of brilliant.,POS
S6,A masterpiece of storytelling with breathtaking visuals and emotion.,POS
S7,Painfully boring and utterly devoid of any originality or charm.,NEG
S8,The screenplay is weak but the lead actor delivers a captivating turn.,POS
S9,A hollow and disappointing sequel that betrays everything the original stood for.,NEG
S10,"Funny, heartfelt and endlessly entertaining from beginning to end.",POS
