sentence_id,text,gold_label,prediction,class_index,class_name,feature_index,feature_text,model_token,shap_value,absolute_shap_value,increases_target_score,margin_shap_value
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,,<|startoftext|>,0.00022135674953460693,0.00022135674953460693,1,-0.00015261396765708923
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,,<|startoftext|>,6.87427818775177e-05,6.87427818775177e-05,1,-0.00015261396765708923
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,The ,the</w>,0.003964744508266449,0.003964744508266449,1,0.0009443052113056183
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,The ,the</w>,0.004909049719572067,0.004909049719572067,1,0.0009443052113056183
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,film ,film</w>,0.030299481004476547,0.030299481004476547,1,0.00921303778886795
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,film ,film</w>,0.0395125187933445,0.0395125187933445,1,0.00921303778886795
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,is ,is</w>,0.02043933793902397,0.02043933793902397,1,-3.604590892791748e-05
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,is ,is</w>,0.020403292030096054,0.020403292030096054,1,-3.604590892791748e-05
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,a ,a</w>,0.0020448664824167886,0.0020448664824167886,1,0.0019956653316815696
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,a ,a</w>,0.004040531814098358,0.004040531814098358,1,0.0019956653316815696
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,beautiful ,beautiful</w>,0.0020448664824167886,0.0020448664824167886,1,0.0019956653316815696
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,beautiful ,beautiful</w>,0.004040531814098358,0.004040531814098358,1,0.0019956653316815696
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,and ,and</w>,0.004507000247637431,0.004507000247637431,1,0.0015714367230733233
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,and ,and</w>,0.006078436970710754,0.006078436970710754,1,0.0015714367230733233
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,moving ,moving</w>,-0.004942763969302178,0.004942763969302178,0,0.001348850503563881
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,moving ,moving</w>,-0.0035939134657382967,0.0035939134657382967,0,0.001348850503563881
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,portrait ,portrait</w>,-0.004942763969302178,0.004942763969302178,0,0.001348850503563881
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,portrait ,portrait</w>,-0.0035939134657382967,0.0035939134657382967,0,0.001348850503563881
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,of ,of</w>,-0.00352491723994414,0.00352491723994414,0,0.00038526753584543867
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,of ,of</w>,-0.0031396497040987012,0.0031396497040987012,0,0.00038526753584543867
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,human ,human</w>,-0.00352491723994414,0.00352491723994414,0,0.00038526753584543867
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,human ,human</w>,-0.0031396497040987012,0.0031396497040987012,0,0.00038526753584543867
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,11,resilience,resilience</w>,-0.00621228019396464,0.00621228019396464,0,0.0003189387420813247
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,11,resilience,resilience</w>,-0.005893341451883315,0.005893341451883315,0,0.0003189387420813247
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,12,.,.</w>,0.0030757486820220947,0.0030757486820220947,1,0.0003977566957473755
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,12,.,.</w>,0.00347350537776947,0.00347350537776947,1,0.0003977566957473755
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,13,,<|endoftext|>,-5.960464477539063e-08,5.960464477539063e-08,0,1.1920928955078125e-07
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,13,,<|endoftext|>,5.960464477539063e-08,5.960464477539063e-08,1,1.1920928955078125e-07
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,,<|startoftext|>,0.0009092669934034348,0.0009092669934034348,1,0.000134151428937912
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,,<|startoftext|>,0.0010434184223413467,0.0010434184223413467,1,0.000134151428937912
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,This ,this</w>,0.018192877992987633,0.018192877992987633,1,0.0037330053746700287
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,This ,this</w>,0.02192588336765766,0.02192588336765766,1,0.0037330053746700287
