sentence_id,text,gold_label,prediction,class_index,class_name,word_index,word,shap_value,absolute_shap_value,increases_target_logit
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,the,0.07718943804502487,0.07718943804502487,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,the,-0.06534631922841072,0.06534631922841072,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,film,-0.14993049576878548,0.14993049576878548,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,film,0.17432271549478173,0.17432271549478173,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,is,0.0833335779607296,0.0833335779607296,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,is,-0.07705484563484788,0.07705484563484788,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,a,-0.04762941598892212,0.04762941598892212,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,a,0.0592204537242651,0.0592204537242651,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,beautiful,-1.1531733348965645,1.1531733348965645,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,beautiful,1.103686971589923,1.103686971589923,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,and,-0.09117991477251053,0.09117991477251053,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,and,0.11714496091008186,0.11714496091008186,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,moving,-0.31273144856095314,0.31273144856095314,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,moving,0.28537838347256184,0.28537838347256184,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,portrait,-0.526891153305769,0.526891153305769,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,portrait,0.4849544595927,0.4849544595927,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,of,0.10575082153081894,0.10575082153081894,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,of,-0.07151515781879425,0.07151515781879425,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,human,0.03836505860090256,0.03836505860090256,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,human,-0.005018368363380432,0.005018368363380432,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,resilience,-0.38121603429317474,0.38121603429317474,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,resilience,0.4374450296163559,0.4374450296163559,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,this,0.4597555061991443,0.4597555061991443,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,this,-0.4283453207463026,0.4283453207463026,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,movie,0.23464770141072222,0.23464770141072222,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,movie,-0.28728405106812716,0.28728405106812716,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,2,is,0.4271118425858731,0.4271118425858731,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,2,is,-0.347913452424109,0.347913452424109,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,3,an,-0.010015156851295615,0.010015156851295615,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,3,an,0.0201100827762275,0.0201100827762275,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,4,absolute,0.4160958407119324,0.4160958407119324,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,4,absolute,-0.35981515740422765,0.35981515740422765,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,5,waste,3.0587107059964183,3.0587107059964183,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,5,waste,-2.6350283391766425,2.6350283391766425,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,6,of,0.4430508925997856,0.4430508925997856,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,6,of,-0.36424483394876006,0.36424483394876006,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,7,time,0.14766000592135242,0.14766000592135242,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,7,time,-0.11174434606073191,0.11174434606073191,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,8,and,-1.2522407174110413,1.2522407174110413,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,8,and,1.0828664302825928,1.0828664302825928,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,9,money,1.2079254314303398,1.2079254314303398,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,9,money,-1.0779846236109734,1.0779846236109734,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,0,it,0.21292033605277538,0.21292033605277538,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,0,it,-0.1686985855922103,0.1686985855922103,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,1,s,0.190623439848423,0.190623439848423,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,1,s,-0.15796894021332264,0.15796894021332264,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,2,a,0.02185922535136342,0.02185922535136342,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,2,a,-0.020928240614011884,0.020928240614011884,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,3,bit,0.32968188589438796,0.32968188589438796,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,3,bit,-0.2914149696007371,0.2914149696007371,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,4,slow,0.595614196616225,0.595614196616225,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,4,slow,-0.44657248982305947,0.44657248982305947,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,5,at,0.035700394364539534,0.035700394364539534,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,5,at,-0.016050969968394686,0.016050969968394686,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,6,times,0.0267341822036542,0.0267341822036542,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,6,times,-0.04496116163985183,0.04496116163985183,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,7,but,-0.39377399906516075,0.39377399906516075,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,7,but,0.3481621756218374,0.3481621756218374,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,8,the,-0.16544274415355176,0.16544274415355176,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,8,the,0.14720960560953245,0.14720960560953245,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,9,performances,-0.7546001913724467,0.7546001913724467,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,9,performances,0.708043115620967,0.708043115620967,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,10,are,-0.08575843821745366,0.08575843821745366,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,10,are,0.09155660535907373,0.09155660535907373,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,11,outstanding,-1.9041462669847533,1.9041462669847533,0
