sentence_id,text,gold_label,prediction,class_index,class_name,feature_index,feature_text,model_token,normalized_feature,shap_value,absolute_shap_value,increases_target_logit,is_content
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,,[CLS],[CLS],1.4901161193847656e-08,1.4901161193847656e-08,1,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,,[CLS],[CLS],-7.450580596923828e-09,7.450580596923828e-09,0,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,The ,the,the,0.07718943804502487,0.07718943804502487,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,The ,the,the,-0.06534631922841072,0.06534631922841072,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,film ,film,film,-0.14993049576878548,0.14993049576878548,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,film ,film,film,0.17432271549478173,0.17432271549478173,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,is ,is,is,0.0833335779607296,0.0833335779607296,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,is ,is,is,-0.07705484563484788,0.07705484563484788,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,a ,a,a,-0.04762941598892212,0.04762941598892212,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,a ,a,a,0.0592204537242651,0.0592204537242651,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,beautiful ,beautiful,beautiful,-1.1531733348965645,1.1531733348965645,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,beautiful ,beautiful,beautiful,1.103686971589923,1.103686971589923,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,and ,and,and,-0.09117991477251053,0.09117991477251053,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,and ,and,and,0.11714496091008186,0.11714496091008186,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,moving ,moving,moving,-0.31273144856095314,0.31273144856095314,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,moving ,moving,moving,0.28537838347256184,0.28537838347256184,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,portrait ,portrait,portrait,-0.526891153305769,0.526891153305769,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,portrait ,portrait,portrait,0.4849544595927,0.4849544595927,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,of ,of,of,0.10575082153081894,0.10575082153081894,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,of ,of,of,-0.07151515781879425,0.07151515781879425,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,human ,human,human,0.03836505860090256,0.03836505860090256,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,human ,human,human,-0.005018368363380432,0.005018368363380432,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,11,res,res,res,-0.21732207108289003,0.21732207108289003,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,11,res,res,res,0.2551617491990328,0.2551617491990328,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,12,ili,##ili,##ili,-0.3346684956923127,0.3346684956923127,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,12,ili,##ili,##ili,0.33339803107082844,0.33339803107082844,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,13,ence,##ence,##ence,0.170774532482028,0.170774532482028,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,13,ence,##ence,##ence,-0.15111475065350533,0.15111475065350533,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,14,.,.,.,0.08184261620044708,0.08184261620044708,1,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,14,.,.,.,-0.06858710944652557,0.06858710944652557,0,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,15,,[SEP],[SEP],0.0,0.0,0,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,15,,[SEP],[SEP],0.0,0.0,0,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,,[CLS],[CLS],-7.450580596923828e-09,7.450580596923828e-09,0,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,,[CLS],[CLS],0.0,0.0,0,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,This ,this,this,0.4597555061991443,0.4597555061991443,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,This ,this,this,-0.4283453207463026,0.4283453207463026,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,2,movie ,movie,movie,0.23464770141072222,0.23464770141072222,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,2,movie ,movie,movie,-0.28728405106812716,0.28728405106812716,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,3,is ,is,is,0.4271118425858731,0.4271118425858731,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,3,is ,is,is,-0.347913452424109,0.347913452424109,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,4,an ,an,an,-0.010015156851295615,0.010015156851295615,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,4,an ,an,an,0.0201100827762275,0.0201100827762275,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,5,absolute ,absolute,absolute,0.4160958407119324,0.4160958407119324,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,5,absolute ,absolute,absolute,-0.35981515740422765,0.35981515740422765,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,6,waste ,waste,waste,3.0587107059964183,3.0587107059964183,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,6,waste ,waste,waste,-2.6350283391766425,2.6350283391766425,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,7,of ,of,of,0.4430508925997856,0.4430508925997856,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,7,of ,of,of,-0.36424483394876006,0.36424483394876006,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,8,time ,time,time,0.14766000592135242,0.14766000592135242,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,8,time ,time,time,-0.11174434606073191,0.11174434606073191,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,9,and ,and,and,-1.2522407174110413,1.2522407174110413,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,9,and ,and,and,1.0828664302825928,1.0828664302825928,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,10,money,money,money,1.2079254314303398,1.2079254314303398,1,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,10,money,money,money,-1.0779846236109734,1.0779846236109734,0,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,11,.,.,.,0.1011706069111824,0.1011706069111824,1,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,11,.,.,.,-0.06613094359636307,0.06613094359636307,0,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,12,,[SEP],[SEP],0.0,0.0,0,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,12,,[SEP],[SEP],0.0,0.0,0,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,0,,[CLS],[CLS],-8.940696716308594e-08,8.940696716308594e-08,0,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,0,,[CLS],[CLS],-1.4901161193847656e-08,1.4901161193847656e-08,0,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,1,It,it,it,0.21292033605277538,0.21292033605277538,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,1,It,it,it,-0.1686985855922103,0.1686985855922103,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,2,',',',0.10570518113672733,0.10570518113672733,1,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,2,',',',-0.08595435600727797,0.08595435600727797,0,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,3,s ,s,s,0.190623439848423,0.190623439848423,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,3,s ,s,s,-0.15796894021332264,0.15796894021332264,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,4,a ,a,a,0.02185922535136342,0.02185922535136342,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,4,a ,a,a,-0.020928240614011884,0.020928240614011884,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,5,bit ,bit,bit,0.32968188589438796,0.32968188589438796,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,5,bit ,bit,bit,-0.2914149696007371,0.2914149696007371,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,6,slow ,slow,slow,0.595614196616225,0.595614196616225,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,6,slow ,slow,slow,-0.44657248982305947,0.44657248982305947,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,7,at ,at,at,0.035700394364539534,0.035700394364539534,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,7,at ,at,at,-0.016050969968394686,0.016050969968394686,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,8,times ,times,times,0.0267341822036542,0.0267341822036542,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,8,times ,times,times,-0.04496116163985183,0.04496116163985183,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,9,but ,but,but,-0.39377399906516075,0.39377399906516075,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,9,but ,but,but,0.3481621756218374,0.3481621756218374,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,10,the ,the,the,-0.16544274415355176,0.16544274415355176,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,10,the ,the,the,0.14720960560953245,0.14720960560953245,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,11,performances ,performances,performances,-0.7546001913724467,0.7546001913724467,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,11,performances ,performances,performances,0.708043115620967,0.708043115620967,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,12,are ,are,are,-0.08575843821745366,0.08575843821745366,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,12,are ,are,are,0.09155660535907373,0.09155660535907373,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,13,outstanding,outstanding,outstanding,-1.9041462669847533,1.9041462669847533,0,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,13,outstanding,outstanding,outstanding,1.8437257226905786,1.8437257226905786,1,1
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,14,.,.,.,0.18181823147460818,0.18181823147460818,1,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,14,.,.,.,-0.1416795419063419,0.1416795419063419,0,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,0,NEG,15,,[SEP],[SEP],0.0,0.0,0,0
S3,It's a bit slow at times but the performances are outstanding.,POS,POS,1,POS,15,,[SEP],[SEP],0.0,0.0,0,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,0,,[CLS],[CLS],2.2351741790771484e-08,2.2351741790771484e-08,1,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,0,,[CLS],[CLS],0.0,0.0,0,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,1,A ,a,a,-0.17042775265872478,0.17042775265872478,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,1,A ,a,a,0.14521496137604117,0.14521496137604117,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,2,dull,dull,dull,2.1185317132622004,2.1185317132622004,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,2,dull,dull,dull,-1.8939342782832682,1.8939342782832682,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,3,", ",",",",",0.394854586571455,0.394854586571455,1,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,3,", ",",",",",-0.3722859797999263,0.3722859797999263,0,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,4,ted,ted,ted,0.23093638196587563,0.23093638196587563,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,4,ted,ted,ted,-0.2582649253308773,0.2582649253308773,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,5,ious ,##ious,##ious,1.1200955174863338,1.1200955174863338,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,5,ious ,##ious,##ious,-0.9612113423645496,0.9612113423645496,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,6,and ,and,and,0.0372319221496582,0.0372319221496582,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,6,and ,and,and,-0.055364981293678284,0.055364981293678284,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,7,completely ,completely,completely,0.5468648336827755,0.5468648336827755,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,7,completely ,completely,completely,-0.49072636663913727,0.49072636663913727,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,8,forget,forget,forget,0.6310366690158844,0.6310366690158844,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,8,forget,forget,forget,-0.5660613132640719,0.5660613132640719,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,9,table ,##table,##table,0.3070640601217747,0.3070640601217747,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,9,table ,##table,##table,-0.31517659593373537,0.31517659593373537,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,10,experience,experience,experience,-0.042420174926519394,0.042420174926519394,0,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,10,experience,experience,experience,0.024883229285478592,0.024883229285478592,1,1
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,11,.,.,.,0.01352861151099205,0.01352861151099205,1,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,11,.,.,.,-0.011425454169511795,0.011425454169511795,0,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,0,NEG,12,,[SEP],[SEP],0.0,0.0,0,0
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,POS,12,,[SEP],[SEP],0.0,0.0,0,0
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,0,NEG,0,,[CLS],[CLS],-7.450580596923828e-08,7.450580596923828e-08,0,0
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,1,POS,0,,[CLS],[CLS],0.0,0.0,0,0
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,0,NEG,1,The ,the,the,-0.013468250632286072,0.013468250632286072,0,1
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,1,POS,1,The ,the,the,0.03669232130050659,0.03669232130050659,1,1
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,0,NEG,2,direction ,direction,direction,0.24861329793930054,0.24861329793930054,1,1
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,1,POS,2,direction ,direction,direction,-0.20329155609942973,0.20329155609942973,0,1
