sentence_id,gold_label,clip_prediction,bert_prediction,prediction_agreement,shared_word_count,spearman_margin_rank,top3_overlap_count,top3_jaccard,margin_sign_agreement,clip_top3_words,bert_top3_words,comparison_note
S1,POS,POS,POS,1,11,0.41818181818181827,2,0.5,0.6363636363636364,beautiful | film | portrait,beautiful | portrait | resilience,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S2,NEG,NEG,NEG,1,10,0.09090909090909088,1,0.2,0.3,movie | this | waste,and | money | waste,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S3,POS,NEG,POS,0,10,0.6484848484848483,2,0.5,0.7,outstanding | performances | times,outstanding | performances | slow,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S4,NEG,NEG,NEG,1,7,-0.07142857142857144,3,1.0,0.2857142857142857,dull | forgettable | tedious,dull | forgettable | tedious,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S5,POS,POS,POS,1,12,0.4545454545454546,2,0.5,0.6666666666666666,acting | brilliant | inspired,and | brilliant | inspired,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S6,POS,POS,POS,1,9,0.18333333333333335,1,0.2,0.8888888888888888,masterpiece | storytelling | visuals,and | breathtaking | masterpiece,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S7,NEG,NEG,NEG,1,10,0.7575757575757575,1,0.2,0.6,boring | charm | painfully,boring | devoid | or,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S8,POS,POS,POS,1,12,0.4895104895104896,2,0.5,0.5833333333333334,captivating | screenplay | weak,captivating | delivers | weak,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S9,NEG,NEG,NEG,1,12,-0.034965034965034975,2,0.5,0.3333333333333333,disappointing | hollow | sequel,disappointing | hollow | that,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
S10,POS,POS,POS,1,9,0.7166666666666667,2,0.5,0.8888888888888888,beginning | entertaining | heartfelt,entertaining | funny | heartfelt,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D01,NEG,POS,NEG,0,26,0.27628654874649894,0,0.0,0.5,movie | study | that,disappointingly | just | superficial,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D02,POS,POS,POS,1,17,0.02450980392156863,0,0.0,0.7647058823529411,cast | playing | smart,compelling | grand | provides,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D03,NEG,NEG,NEG,1,15,0.2571428571428571,1,0.2,0.5333333333333333,bad | movie | when,bad | blooper | substance,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D04,POS,POS,POS,1,13,-0.07692307692307691,1,0.2,0.5384615384615384,moving | remarkable | this,effective | remarkable | storytelling,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D05,NEG,NEG,NEG,1,13,0.3626373626373627,1,0.2,0.6923076923076923,movie | sad | sad,boring | boring | sad,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D06,POS,POS,POS,1,10,0.24848484848484845,1,0.2,0.7,brooding | character | study,brooding | compelling | intense,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D07,NEG,POS,NEG,0,16,-0.07058823529411765,2,0.5,0.375,characterizations | hackneyed | nonexistent,hackneyed | nonexistent | not,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D08,POS,POS,POS,1,7,0.21428571428571433,2,0.5,0.42857142857142855,film | funny | powerful,and | funny | powerful,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D09,NEG,NEG,NEG,1,8,0.9047619047619048,3,1.0,0.75,downer | headache | meaningless,downer | headache | meaningless,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
D10,NEG,NEG,NEG,1,7,-0.25,1,0.2,0.42857142857142855,away | look | was,had | this | was,Ranks/directions only; raw BERT logits and CLIP cosine similarities are not magnitude-comparable.
