sentence_id,text,gold_label,prediction,class_index,class_name,word_index,word,is_content,shap_value,absolute_shap_value,increases_target_score
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,The,1,0.0041860975325107574,0.0041860975325107574,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,The,1,0.00497780367732048,0.00497780367732048,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,film,1,0.030971258878707886,0.030971258878707886,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,film,1,0.04021814465522766,0.04021814465522766,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,is,1,0.019767560064792633,0.019767560064792633,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,is,1,0.01969766616821289,0.01969766616821289,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,a,1,0.0004873611032962799,0.0004873611032962799,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,a,1,7.613375782966614e-05,7.613375782966614e-05,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,beautiful,1,0.002596203237771988,0.002596203237771988,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,beautiful,1,0.007731210440397263,0.007731210440397263,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,and,1,0.0055131688714027405,0.0055131688714027405,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,and,1,0.006352156400680542,0.006352156400680542,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,moving,1,-0.00461433082818985,0.00461433082818985,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,moving,1,-0.004086904227733612,0.004086904227733612,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,portrait,1,-0.013679645955562592,0.013679645955562592,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,portrait,1,-0.012274473905563354,0.012274473905563354,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,of,1,0.007513180375099182,0.007513180375099182,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,of,1,0.008053639903664589,0.008053639903664589,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,human,1,-0.007773555815219879,0.007773555815219879,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,human,1,-0.006890861317515373,0.006890861317515373,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,resilience,1,-0.004593290388584137,0.004593290388584137,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,resilience,1,-0.004161868244409561,0.004161868244409561,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,11,.,0,0.0030757486820220947,0.0030757486820220947,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,11,.,0,0.00347350537776947,0.00347350537776947,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,This,1,0.019102146849036217,0.019102146849036217,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,This,1,0.02296929620206356,0.02296929620206356,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,movie,1,0.05000739358365536,0.05000739358365536,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,movie,1,0.05934208817780018,0.05934208817780018,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,2,is,1,0.0008858423680067062,0.0008858423680067062,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,2,is,1,-0.0013644751161336899,0.0013644751161336899,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,3,an,1,0.001017952337861061,0.001017952337861061,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,3,an,1,-0.0006772000342607498,0.0006772000342607498,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,4,absolute,1,0.004563936963677406,0.004563936963677406,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,4,absolute,1,0.007129428908228874,0.007129428908228874,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,5,waste,1,0.01189190149307251,0.01189190149307251,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,5,waste,1,0.004236346110701561,0.004236346110701561,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,6,of,1,-0.00018562749028205872,0.00018562749028205872,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,6,of,1,-0.002285720780491829,0.002285720780491829,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,7,time,1,-0.0003021135926246643,0.0003021135926246643,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,7,time,1,0.0006325468420982361,0.0006325468420982361,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,8,and,1,0.007732756435871124,0.007732756435871124,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,8,and,1,0.0072761401534080505,0.0072761401534080505,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,9,money,1,0.0012136884033679962,0.0012136884033679962,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,9,money,1,0.002239760011434555,0.002239760011434555,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,10,.,0,0.005642462521791458,0.005642462521791458,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,10,.,0,0.006972786039113998,0.006972786039113998,1
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,0,It's,1,0.007155783474445343,0.007155783474445343,1
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,0,It's,1,0.00702255591750145,0.00702255591750145,1
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,1,a,1,0.005494760349392891,0.005494760349392891,1
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,1,a,1,0.005181994289159775,0.005181994289159775,1
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,2,bit,1,-0.00019555632025003433,0.00019555632025003433,0
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,2,bit,1,-0.0011398103088140488,0.0011398103088140488,0
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,3,slow,1,-0.014181368984282017,0.014181368984282017,0
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,3,slow,1,-0.015386557206511497,0.015386557206511497,0
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,4,at,1,0.0020441515371203423,0.0020441515371203423,1
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,4,at,1,0.0026039239019155502,0.0026039239019155502,1
