sentence_id,text,gold_label,prediction,class_index,class_name,feature_index,feature_text,model_token,shap_value,absolute_shap_value,increases_target_score,margin_shap_value
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,,<|startoftext|>,3.725290298461914e-09,3.725290298461914e-09,1,-1.4901161193847656e-08
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,,<|startoftext|>,-1.1175870895385742e-08,1.1175870895385742e-08,0,-1.4901161193847656e-08
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,The ,the</w>,0.0041860975325107574,0.0041860975325107574,1,0.0007917061448097229
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,The ,the</w>,0.00497780367732048,0.00497780367732048,1,0.0007917061448097229
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,film ,film</w>,0.030971258878707886,0.030971258878707886,1,0.009246885776519775
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,film ,film</w>,0.04021814465522766,0.04021814465522766,1,0.009246885776519775
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,is ,is</w>,0.019767560064792633,0.019767560064792633,1,-6.989389657974243e-05
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,is ,is</w>,0.01969766616821289,0.01969766616821289,1,-6.989389657974243e-05
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,a ,a</w>,0.0004873611032962799,0.0004873611032962799,1,-0.00041122734546661377
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,a ,a</w>,7.613375782966614e-05,7.613375782966614e-05,1,-0.00041122734546661377
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,beautiful ,beautiful</w>,0.002596203237771988,0.002596203237771988,1,0.005135007202625275
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,beautiful ,beautiful</w>,0.007731210440397263,0.007731210440397263,1,0.005135007202625275
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,and ,and</w>,0.0055131688714027405,0.0055131688714027405,1,0.0008389875292778015
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,and ,and</w>,0.006352156400680542,0.006352156400680542,1,0.0008389875292778015
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,moving ,moving</w>,-0.00461433082818985,0.00461433082818985,0,0.0005274266004562378
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,moving ,moving</w>,-0.004086904227733612,0.004086904227733612,0,0.0005274266004562378
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,portrait ,portrait</w>,-0.013679645955562592,0.013679645955562592,0,0.001405172049999237
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,portrait ,portrait</w>,-0.012274473905563354,0.012274473905563354,0,0.001405172049999237
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,of ,of</w>,0.007513180375099182,0.007513180375099182,1,0.0005404595285654068
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,of ,of</w>,0.008053639903664589,0.008053639903664589,1,0.0005404595285654068
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,human ,human</w>,-0.007773555815219879,0.007773555815219879,0,0.0008826944977045059
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,human ,human</w>,-0.006890861317515373,0.006890861317515373,0,0.0008826944977045059
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,11,resilience,resilience</w>,-0.004593290388584137,0.004593290388584137,0,0.0004314221441745758
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,11,resilience,resilience</w>,-0.004161868244409561,0.004161868244409561,0,0.0004314221441745758
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,12,.,.</w>,0.0030757486820220947,0.0030757486820220947,1,0.0003977566957473755
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,12,.,.</w>,0.00347350537776947,0.00347350537776947,1,0.0003977566957473755
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,13,,<|endoftext|>,-5.960464477539063e-08,5.960464477539063e-08,0,1.1920928955078125e-07
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,13,,<|endoftext|>,5.960464477539063e-08,5.960464477539063e-08,1,1.1920928955078125e-07
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,,<|startoftext|>,-1.862645149230957e-09,1.862645149230957e-09,0,7.450580596923828e-09
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,,<|startoftext|>,5.587935447692871e-09,5.587935447692871e-09,1,7.450580596923828e-09
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,This ,this</w>,0.019102146849036217,0.019102146849036217,1,0.0038671493530273438
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,This ,this</w>,0.02296929620206356,0.02296929620206356,1,0.0038671493530273438
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,2,movie ,movie</w>,0.05000739358365536,0.05000739358365536,1,0.009334694594144821
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,2,movie ,movie</w>,0.05934208817780018,0.05934208817780018,1,0.009334694594144821
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,3,is ,is</w>,0.0008858423680067062,0.0008858423680067062,1,-0.002250317484140396
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,3,is ,is</w>,-0.0013644751161336899,0.0013644751161336899,0,-0.002250317484140396
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,4,an ,an</w>,0.001017952337861061,0.001017952337861061,1,-0.001695152372121811
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,4,an ,an</w>,-0.0006772000342607498,0.0006772000342607498,0,-0.001695152372121811
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,5,absolute ,absolute</w>,0.004563936963677406,0.004563936963677406,1,0.002565491944551468
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,5,absolute ,absolute</w>,0.007129428908228874,0.007129428908228874,1,0.002565491944551468
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,6,waste ,waste</w>,0.01189190149307251,0.01189190149307251,1,-0.007655555382370949
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,6,waste ,waste</w>,0.004236346110701561,0.004236346110701561,1,-0.007655555382370949
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,7,of ,of</w>,-0.00018562749028205872,0.00018562749028205872,0,-0.00210009329020977
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,7,of ,of</w>,-0.002285720780491829,0.002285720780491829,0,-0.00210009329020977
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,8,time ,time</w>,-0.0003021135926246643,0.0003021135926246643,0,0.0009346604347229004
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,8,time ,time</w>,0.0006325468420982361,0.0006325468420982361,1,0.0009346604347229004
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,9,and ,and</w>,0.007732756435871124,0.007732756435871124,1,-0.00045661628246307373
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,9,and ,and</w>,0.0072761401534080505,0.0072761401534080505,1,-0.00045661628246307373
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,10,money,money</w>,0.0012136884033679962,0.0012136884033679962,1,0.0010260716080665588
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,10,money,money</w>,0.002239760011434555,0.002239760011434555,1,0.0010260716080665588
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,11,.,.</w>,0.005642462521791458,0.005642462521791458,1,0.0013303235173225403
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,11,.,.</w>,0.006972786039113998,0.006972786039113998,1,0.0013303235173225403
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,12,,<|endoftext|>,-8.940696716308594e-08,8.940696716308594e-08,0,1.4901161193847656e-07
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,12,,<|endoftext|>,5.960464477539063e-08,5.960464477539063e-08,1,1.4901161193847656e-07
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,0,,<|startoftext|>,1.30385160446167e-08,1.30385160446167e-08,1,-5.587935447692871e-09
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,0,,<|startoftext|>,7.450580596923828e-09,7.450580596923828e-09,1,-5.587935447692871e-09
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,1,It,it</w>,0.0032623913139104843,0.0032623913139104843,1,0.0004546660929918289
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,1,It,it</w>,0.0037170574069023132,0.0037170574069023132,1,0.0004546660929918289
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,2,'s ,'s</w>,0.0038933921605348587,0.0038933921605348587,1,-0.0005878936499357224
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,1,POS,2,'s ,'s</w>,0.0033054985105991364,0.0033054985105991364,1,-0.0005878936499357224
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,NEG,3,a ,a</w>,0.005494760349392891,0.005494760349392891,1,-0.00031276606023311615
