sentence_id,text,gold_label,source,source_row_id
S1,The film is a beautiful and moving portrait of human resilience.,POS,qualitative_s1_s10,S1
S2,This movie is an absolute waste of time and money.,NEG,qualitative_s1_s10,S2
S3,It's a bit slow at times but the performances are outstanding.,POS,qualitative_s1_s10,S3
S4,"A dull, tedious and completely forgettable experience.",NEG,qualitative_s1_s10,S4
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,qualitative_s1_s10,S5
S6,A masterpiece of storytelling with breathtaking visuals and emotion.,POS,qualitative_s1_s10,S6
S7,Painfully boring and utterly devoid of any originality or charm.,NEG,qualitative_s1_s10,S7
S8,The screenplay is weak but the lead actor delivers a captivating turn.,POS,qualitative_s1_s10,S8
S9,A hollow and disappointing sequel that betrays everything the original stood for.,NEG,qualitative_s1_s10,S9
S10,"Funny, heartfelt and endlessly entertaining from beginning to end.",POS,qualitative_s1_s10,S10
D01,"It's just disappointingly superficial—a movie that has all the elements necessary to be a fascinating, involving character study, but never does more than scratch the surface.",NEG,sst2_dev_curated,59
D02,"It provides the grand, intelligent entertainment of a superior cast playing smart people amid a compelling plot.",POS,sst2_dev_curated,129
D03,It's a bad thing when a movie has about as much substance as its end-credits blooper reel.,NEG,sst2_dev_curated,181
D04,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving, effective little film.",POS,sst2_dev_curated,603
D05,"The entire movie is about a boring, sad man being boring and sad.",NEG,sst2_dev_curated,212
D06,"It proves quite compelling as an intense, brooding character study.",POS,sst2_dev_curated,327
D07,"The film's hackneyed message is not helped by the thin characterizations, nonexistent plot, and pretentious visual style.",NEG,sst2_dev_curated,429
D08,"The film is powerful, accessible, and funny.",POS,sst2_dev_curated,504
D09,I got a headache watching this meaningless downer.,NEG,sst2_dev_curated,591
D10,I had to look away; this was god-awful.,NEG,sst2_dev_curated,29
