sentence_id,gold_label,prediction,word_index,word,feature_indices,is_content,negative_shap_value,positive_shap_value,margin_shap_value
S1,POS,POS,0,The,1,1,0.0041860975325107574,0.00497780367732048,0.0007917061448097229
S1,POS,POS,1,film,2,1,0.030971258878707886,0.04021814465522766,0.009246885776519775
S1,POS,POS,2,is,3,1,0.019767560064792633,0.01969766616821289,-6.989389657974243e-05
S1,POS,POS,3,a,4,1,0.0004873611032962799,7.613375782966614e-05,-0.00041122734546661377
S1,POS,POS,4,beautiful,5,1,0.002596203237771988,0.007731210440397263,0.005135007202625275
S1,POS,POS,5,and,6,1,0.0055131688714027405,0.006352156400680542,0.0008389875292778015
S1,POS,POS,6,moving,7,1,-0.00461433082818985,-0.004086904227733612,0.0005274266004562378
S1,POS,POS,7,portrait,8,1,-0.013679645955562592,-0.012274473905563354,0.001405172049999237
S1,POS,POS,8,of,9,1,0.007513180375099182,0.008053639903664589,0.0005404595285654068
S1,POS,POS,9,human,10,1,-0.007773555815219879,-0.006890861317515373,0.0008826944977045059
S1,POS,POS,10,resilience,11,1,-0.004593290388584137,-0.004161868244409561,0.0004314221441745758
S1,POS,POS,11,.,12,0,0.0030757486820220947,0.00347350537776947,0.0003977566957473755
S2,NEG,NEG,0,This,1,1,0.019102146849036217,0.02296929620206356,0.0038671493530273438
S2,NEG,NEG,1,movie,2,1,0.05000739358365536,0.05934208817780018,0.009334694594144821
S2,NEG,NEG,2,is,3,1,0.0008858423680067062,-0.0013644751161336899,-0.002250317484140396
S2,NEG,NEG,3,an,4,1,0.001017952337861061,-0.0006772000342607498,-0.001695152372121811
S2,NEG,NEG,4,absolute,5,1,0.004563936963677406,0.007129428908228874,0.002565491944551468
S2,NEG,NEG,5,waste,6,1,0.01189190149307251,0.004236346110701561,-0.007655555382370949
S2,NEG,NEG,6,of,7,1,-0.00018562749028205872,-0.002285720780491829,-0.00210009329020977
S2,NEG,NEG,7,time,8,1,-0.0003021135926246643,0.0006325468420982361,0.0009346604347229004
S2,NEG,NEG,8,and,9,1,0.007732756435871124,0.0072761401534080505,-0.00045661628246307373
S2,NEG,NEG,9,money,10,1,0.0012136884033679962,0.002239760011434555,0.0010260716080665588
S2,NEG,NEG,10,.,11,0,0.005642462521791458,0.006972786039113998,0.0013303235173225403
S3,POS,NEG,0,It's,1 | 2,1,0.007155783474445343,0.00702255591750145,-0.00013322755694389343
