class_name,prompt_index,prompt,cosine_to_class_prototype
NEG,1,This movie is terrible.,0.989168643951416
NEG,2,I hated this movie.,0.9684721231460571
NEG,3,This is a bad film.,0.9869018793106079
NEG,4,The film was disappointing.,0.9768128991127014
NEG,5,This is a negative movie review.,0.9670942425727844
POS,1,This movie is excellent.,0.9926541447639465
POS,2,I loved this movie.,0.9827059507369995
POS,3,This is a good film.,0.9889059066772461
POS,4,The film was enjoyable.,0.9795309901237488
POS,5,This is a positive movie review.,0.9699881076812744
