sentence_id,text,gold_label,prediction,class_index,class_name,feature_index,feature_text,model_token,normalized_feature,shap_value,absolute_shap_value,increases_target_logit,is_content
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,,[CLS],[CLS],0.007047984749078751,0.007047984749078751,1,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,,[CLS],[CLS],0.004015000537037849,0.004015000537037849,1,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,The ,the,the,0.007047984749078751,0.007047984749078751,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,The ,the,the,0.004015000537037849,0.004015000537037849,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,film ,film,film,0.0410059429705143,0.0410059429705143,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,film ,film,film,-0.026907486375421286,0.026907486375421286,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,is ,is,is,-0.04450937733054161,0.04450937733054161,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,is ,is,is,0.05079902848228812,0.05079902848228812,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,a ,a,a,-0.08010681966940561,0.08010681966940561,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,a ,a,a,0.10348764124015968,0.10348764124015968,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,beautiful ,beautiful,beautiful,-1.0845524395505588,1.0845524395505588,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,beautiful ,beautiful,beautiful,1.029356115187208,1.029356115187208,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,and ,and,and,-0.12732340643803278,0.12732340643803278,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,and ,and,and,0.14720862979690236,0.14720862979690236,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,moving ,moving,moving,-0.30219120159745216,0.30219120159745216,0,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,moving ,moving,moving,0.2731430847197771,0.2731430847197771,1,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,portrait ,portrait,portrait,-0.5099211148917675,0.5099211148917675,0,1
